,date,best ask,best bid,mid price,signal,month,day,am/pm,hour
0,2020-01-01 12:06:04 AM,7155.23,7070.0,7112.615,0,01,01,AM,12
1,2020-01-01 01:25:42 AM,7173.37,7083.49,7128.43,1,01,01,AM,01
2,2020-01-01 02:26:12 AM,7207.32,7099.47,7153.395,1,01,01,AM,02
3,2020-01-01 02:35:22 AM,7219.04,7100.0,7159.52,1,01,01,AM,02
4,2020-01-01 02:45:43 AM,7220.02,7101.0,7160.51,1,01,01,AM,02
5,2020-01-01 02:55:19 AM,7222.09,7102.08,7162.085,1,01,01,AM,02
6,2020-01-01 03:05:47 AM,7213.2,7098.39,7155.795,-1,01,01,AM,03
7,2020-01-01 03:15:56 AM,7207.32,7095.0,7151.16,-1,01,01,AM,03
8,2020-01-01 03:25:29 AM,7211.0,7092.5,7151.75,1,01,01,AM,03
9,2020-01-01 03:35:24 AM,7215.0,7098.39,7156.695,1,01,01,AM,03
10,2020-01-01 03:45:45 AM,7199.03,7093.98,7146.504999999999,-1,01,01,AM,03
11,2020-01-01 03:55:19 AM,7200.0,7092.5,7146.25,0,01,01,AM,03
12,2020-01-01 04:05:52 AM,7200.22,7093.98,7147.1,1,01,01,AM,04
13,2020-01-01 04:16:12 AM,7188.0,7090.01,7139.005,-1,01,01,AM,04
14,2020-01-01 04:25:37 AM,7196.41,7095.0,7145.705,1,01,01,AM,04
15,2020-01-01 04:35:34 AM,7206.53,7097.5,7152.0149999999985,1,01,01,AM,04
16,2020-01-01 04:46:04 AM,7201.12,7095.0,7148.06,-1,01,01,AM,04
17,2020-01-01 04:55:23 AM,7195.2,7092.5,7143.85,-1,01,01,AM,04
18,2020-01-01 05:05:43 AM,7201.29,7085.18,7143.2350000000015,-1,01,01,AM,05
19,2020-01-01 05:16:04 AM,7201.84,7083.49,7142.665,-1,01,01,AM,05
20,2020-01-01 05:25:35 AM,7199.95,7082.5,7141.225,-1,01,01,AM,05
21,2020-01-01 05:35:34 AM,7199.95,7087.5,7143.725,1,01,01,AM,05
22,2020-01-01 05:45:54 AM,7199.95,7093.98,7146.965,1,01,01,AM,05
23,2020-01-01 05:55:28 AM,7199.95,7090.01,7144.98,-1,01,01,AM,05
24,2020-01-01 06:05:50 AM,7199.95,7090.0,7144.975,0,01,01,AM,06
25,2020-01-01 06:16:03 AM,7199.95,7092.5,7146.225,1,01,01,AM,06
26,2020-01-01 06:25:31 AM,7207.22,7098.39,7152.805,1,01,01,AM,06
27,2020-01-01 06:35:29 AM,7207.29,7098.39,7152.84,0,01,01,AM,06
28,2020-01-01 06:46:05 AM,7207.9,7095.0,7151.45,-1,01,01,AM,06
29,2020-01-01 06:55:34 AM,7206.67,7095.0,7150.835,-1,01,01,AM,06
30,2020-01-01 07:05:49 AM,7203.66,7093.98,7148.82,-1,01,01,AM,07
31,2020-01-01 07:16:08 AM,7207.71,7097.5,7152.605,1,01,01,AM,07
32,2020-01-01 07:25:33 AM,7208.1,7092.5,7150.3,-1,01,01,AM,07
33,2020-01-01 07:35:31 AM,7200.83,7095.0,7147.915,-1,01,01,AM,07
34,2020-01-01 07:45:45 AM,7184.76,7093.98,7139.37,-1,01,01,AM,07
35,2020-01-01 07:55:22 AM,7188.62,7098.39,7143.505,1,01,01,AM,07
36,2020-01-01 08:05:38 AM,7178.91,7087.5,7133.205,-1,01,01,AM,08
37,2020-01-01 08:15:54 AM,7165.59,7082.5,7124.045,-1,01,01,AM,08
38,2020-01-01 08:25:24 AM,7170.25,7085.0,7127.625,1,01,01,AM,08
39,2020-01-01 08:35:25 AM,7172.9,7087.5,7130.2,1,01,01,AM,08
40,2020-01-01 08:45:47 AM,7162.3,7085.18,7123.74,-1,01,01,AM,08
41,2020-01-01 08:55:17 AM,7170.32,7088.0,7129.16,1,01,01,AM,08
42,2020-01-01 09:05:43 AM,7184.5,7088.0,7136.25,1,01,01,AM,09
43,2020-01-01 09:15:59 AM,7176.69,7090.0,7133.344999999998,-1,01,01,AM,09
44,2020-01-01 09:25:29 AM,7176.04,7090.0,7133.02,0,01,01,AM,09
45,2020-01-01 09:35:24 AM,7177.45,7087.5,7132.475,-1,01,01,AM,09
46,2020-01-01 09:45:39 AM,7174.0,7085.18,7129.59,-1,01,01,AM,09
47,2020-01-01 09:55:20 AM,7177.63,7088.0,7132.815000000001,1,01,01,AM,09
48,2020-01-01 10:05:45 AM,7176.05,7090.0,7133.025,0,01,01,AM,10
49,2020-01-01 10:15:56 AM,7188.1,7088.0,7138.05,1,01,01,AM,10
50,2020-01-01 10:25:25 AM,7187.48,7090.85,7139.165,1,01,01,AM,10
51,2020-01-01 10:35:20 AM,7184.09,7090.0,7137.045,-1,01,01,AM,10
52,2020-01-01 10:45:47 AM,7189.06,7090.01,7139.535,1,01,01,AM,10
53,2020-01-01 10:55:17 AM,7183.64,7088.0,7135.82,-1,01,01,AM,10
54,2020-01-01 11:05:40 AM,7185.99,7090.0,7137.995,1,01,01,AM,11
55,2020-01-01 11:15:54 AM,7187.85,7090.0,7138.925,1,01,01,AM,11
56,2020-01-01 11:25:27 AM,7204.74,7090.01,7147.375,1,01,01,AM,11
57,2020-01-01 11:35:23 AM,7210.48,7093.98,7152.23,1,01,01,AM,11
58,2020-01-01 11:45:42 AM,7202.88,7088.0,7145.440000000001,-1,01,01,AM,11
59,2020-01-01 11:55:23 AM,7176.25,7087.5,7131.875,-1,01,01,AM,11
60,2020-01-01 12:05:50 PM,7189.5,7084.0,7136.75,1,01,01,PM,12
61,2020-01-01 12:15:58 PM,7187.66,7085.18,7136.42,0,01,01,PM,12
62,2020-01-01 12:25:32 PM,7195.0,7088.0,7141.5,1,01,01,PM,12
63,2020-01-01 12:35:26 PM,7197.4,7092.5,7144.95,1,01,01,PM,12
64,2020-01-01 12:45:43 PM,7200.97,7095.0,7147.9850000000015,1,01,01,PM,12
65,2020-01-01 12:55:21 PM,7207.08,7097.39,7152.2350000000015,1,01,01,PM,12
66,2020-01-01 01:05:37 PM,7202.62,7099.47,7151.045,-1,01,01,PM,01
67,2020-01-01 01:15:49 PM,7202.52,7098.39,7150.455,-1,01,01,PM,01
68,2020-01-01 01:25:28 PM,7201.88,7095.0,7148.440000000001,-1,01,01,PM,01
69,2020-01-01 01:35:21 PM,7202.63,7099.99,7151.31,1,01,01,PM,01
70,2020-01-01 01:45:39 PM,7206.75,7100.0,7153.375,1,01,01,PM,01
71,2020-01-01 01:55:16 PM,7206.81,7099.99,7153.4,0,01,01,PM,01
72,2020-01-01 02:05:37 PM,7198.36,7098.39,7148.375,-1,01,01,PM,02
73,2020-01-01 02:15:56 PM,7197.89,7098.39,7148.14,0,01,01,PM,02
74,2020-01-01 02:25:23 PM,7212.33,7098.39,7155.3600000000015,1,01,01,PM,02
75,2020-01-01 02:35:22 PM,7219.1,7099.99,7159.545,1,01,01,PM,02
76,2020-01-01 02:45:41 PM,7207.37,7090.01,7148.690000000001,-1,01,01,PM,02
77,2020-01-01 02:55:16 PM,7203.95,7098.39,7151.17,1,01,01,PM,02
78,2020-01-01 03:05:39 PM,7203.29,7099.47,7151.38,0,01,01,PM,03
79,2020-01-01 03:15:51 PM,7211.37,7100.0,7155.685,1,01,01,PM,03
80,2020-01-01 03:25:22 PM,7207.09,7085.18,7146.135,-1,01,01,PM,03
81,2020-01-01 03:35:21 PM,7212.31,7099.47,7155.89,1,01,01,PM,03
82,2020-01-01 03:45:44 PM,7221.19,7100.0,7160.594999999998,1,01,01,PM,03
83,2020-01-01 03:55:16 PM,7211.78,7095.0,7153.3899999999985,-1,01,01,PM,03
84,2020-01-01 04:05:40 PM,7210.03,7099.99,7155.01,1,01,01,PM,04
85,2020-01-01 04:15:54 PM,7211.04,7098.39,7154.715,0,01,01,PM,04
86,2020-01-01 04:25:20 PM,7202.85,7098.0,7150.425,-1,01,01,PM,04
87,2020-01-01 04:35:20 PM,7202.61,7093.98,7148.295,-1,01,01,PM,04
88,2020-01-01 04:45:40 PM,7209.99,7098.39,7154.190000000001,1,01,01,PM,04
89,2020-01-01 04:55:17 PM,7219.52,7099.99,7159.755,1,01,01,PM,04
90,2020-01-01 05:05:37 PM,7212.6,7097.5,7155.05,-1,01,01,PM,05
91,2020-01-01 05:15:54 PM,7224.82,7098.39,7161.605,1,01,01,PM,05
92,2020-01-01 05:25:21 PM,7229.04,7104.0,7166.52,1,01,01,PM,05
93,2020-01-01 05:35:21 PM,7224.89,7101.01,7162.950000000002,-1,01,01,PM,05
94,2020-01-01 05:45:37 PM,7222.69,7101.0,7161.844999999998,-1,01,01,PM,05
95,2020-01-01 05:55:19 PM,7222.92,7100.0,7161.46,0,01,01,PM,05
96,2020-01-01 06:05:38 PM,7220.84,7100.0,7160.42,-1,01,01,PM,06
97,2020-01-01 06:16:01 PM,7219.62,7099.47,7159.545,-1,01,01,PM,06
98,2020-01-01 06:25:28 PM,7226.53,7101.01,7163.77,1,01,01,PM,06
99,2020-01-01 06:35:22 PM,7213.31,7095.0,7154.155000000002,-1,01,01,PM,06
100,2020-01-01 06:45:47 PM,7216.43,7101.0,7158.715,1,01,01,PM,06
101,2020-01-01 06:55:19 PM,7214.17,7099.47,7156.82,-1,01,01,PM,06
102,2020-01-01 07:05:42 PM,7217.93,7099.99,7158.96,1,01,01,PM,07
103,2020-01-01 07:15:57 PM,7213.43,7101.01,7157.22,-1,01,01,PM,07
104,2020-01-01 07:25:28 PM,7206.53,7099.47,7153.0,-1,01,01,PM,07
105,2020-01-01 07:35:21 PM,7210.0,7095.0,7152.5,0,01,01,PM,07
106,2020-01-01 07:45:45 PM,7215.29,7099.99,7157.6399999999985,1,01,01,PM,07
107,2020-01-01 07:55:14 PM,7215.29,7101.01,7158.15,1,01,01,PM,07
108,2020-01-01 08:05:36 PM,7210.0,7099.99,7154.995,-1,01,01,PM,08
109,2020-01-01 08:15:55 PM,7210.0,7102.08,7156.04,1,01,01,PM,08
110,2020-01-01 08:25:29 PM,7209.99,7098.39,7154.190000000001,-1,01,01,PM,08
111,2020-01-01 08:35:20 PM,7217.01,7102.5,7159.755,1,01,01,PM,08
112,2020-01-01 08:45:44 PM,7216.27,7099.47,7157.870000000001,-1,01,01,PM,08
